Sample,Sample Size,Brute Force,Divide and Conquer,D&C with Experimental Recursion Threshold
testset_10_1.txt,10,0,0,0
testset_10_10.txt,10,0,0,0
testset_10_11.txt,10,0,0,0
testset_10_12.txt,10,0,0,0
testset_10_13.txt,10,0,0,0
testset_10_14.txt,10,0,0,0
testset_10_2.txt,10,0,0,0
testset_10_3.txt,10,0,0,0
testset_10_4.txt,10,0,0,0
testset_10_5.txt,10,0,0,0
testset_10_6.txt,10,0,0,0
testset_10_7.txt,10,0,0,0
testset_10_8.txt,10,0.000997305,0,0
testset_10_9.txt,10,0,0,0
testset_100_1.txt,100,0.004999161,0,0.000984907
testset_100_10.txt,100,0.004988432,0.000995636,0
testset_100_11.txt,100,0.003989458,0.00099659,0.000997543
testset_100_12.txt,100,0.00398922,0.000997305,0.000997305
testset_100_13.txt,100,0.004986763,0.000997305,0
testset_100_14.txt,100,0.003989697,0.000997305,0
testset_100_2.txt,100,0.00398922,0.000997543,0.000997305
testset_100_3.txt,100,0.005020857,0.000962734,0
testset_100_4.txt,100,0.003990412,0.000996113,0
testset_100_5.txt,100,0.003989935,0.00099659,0.000997543
testset_100_6.txt,100,0.004986763,0,0.000997305
testset_100_7.txt,100,0.004986286,0.000997782,0
testset_100_8.txt,100,0.004986286,0.000997305,0.00099802
testset_100_9.txt,100,0.003988743,0.00099802,0.000997543
testset_1000_1.txt,1000,0.449784756,0.011968851,0.009972811
testset_1000_10.txt,1000,0.451791763,0.013962507,0.009973288
testset_1000_11.txt,1000,0.456796646,0.01593852,0.011967659
testset_1000_12.txt,1000,0.456760883,0.012965679,0.009973288
testset_1000_13.txt,1000,0.454783678,0.012965202,0.009973288
testset_1000_14.txt,1000,0.466752052,0.013961554,0.009973526
testset_1000_2.txt,1000,0.466751814,0.015957117,0.010970592
testset_1000_3.txt,1000,0.457774639,0.011967897,0.008978128
testset_1000_4.txt,1000,0.459770203,0.012991428,0.0099473
testset_1000_5.txt,1000,0.454783678,0.011968851,0.010969639
testset_1000_6.txt,1000,0.45578146,0.014960051,0.009973288
testset_1000_7.txt,1000,0.44879961,0.011967897,0.009987831
testset_1000_8.txt,1000,0.447802067,0.012971401,0.009968042
testset_1000_9.txt,1000,0.455780745,0.012965679,0.008975744
testset_10000_1.txt,10000,46.92419553,0.189497709,0.151589394
testset_10000_10.txt,10000,45.63893294,0.193482637,0.155584097
testset_10000_11.txt,10000,45.67483687,0.192485094,0.154586792
testset_10000_12.txt,10000,45.67482829,0.193482161,0.156581402
testset_10000_13.txt,10000,45.95090008,0.194519043,0.157902718
testset_10000_14.txt,10000,46.20629382,0.194497347,0.156039238
testset_10000_2.txt,10000,45.40398645,0.190492153,0.152590275
testset_10000_3.txt,10000,44.94278264,0.189493656,0.153588533
testset_10000_4.txt,10000,45.3078177,0.188495159,0.149600029
testset_10000_5.txt,10000,45.60088897,0.190488815,0.153590679
testset_10000_6.txt,10000,45.51725864,0.189492941,0.152607441
testset_10000_7.txt,10000,45.36466646,0.194479704,0.155584335
testset_10000_8.txt,10000,46.62195182,0.200463772,0.161567926
