Sample,Sample Size,Vorace,ProgDyn,Tabou
b100_1.txt,300,-1,0.586354256,-1
b100_10.txt,300,-1,0.560501814,-1
b100_2.txt,300,-1,0.572475672,-1
b100_3.txt,300,-1,0.632310152,-1
b100_4.txt,300,-1,0.628320694,-1
b100_5.txt,300,-1,0.64763546,-1
b100_6.txt,300,-1,0.686761141,-1
b100_7.txt,300,-1,0.594950914,-1
b100_8.txt,300,-1,0.562031507,-1
b100_9.txt,300,-1,0.548534155,-1
b500_1.txt,1500,-1,35.38179469,-1
b500_10.txt,1500,-1,39.9356854,-1
b500_2.txt,1500,-1,37.88093019,-1
b500_3.txt,1500,-1,38.33861136,-1
b500_4.txt,1500,-1,34.8915062,-1
b500_5.txt,1500,-1,41.89968657,-1
b500_6.txt,1500,-1,40.1449368,-1
b500_7.txt,1500,-1,40.91800809,-1
b500_8.txt,1500,-1,40.18364263,-1
b500_9.txt,1500,-1,37.68962574,-1
b1000_1.txt,3000,-1,224.8249705,-1
b1000_10.txt,3000,-1,223.3992138,-1
b1000_2.txt,3000,-1,209.1851861,-1
b1000_3.txt,3000,-1,221.7216539,-1
b1000_4.txt,3000,-1,210.2162006,-1
b1000_5.txt,3000,-1,207.0405376,-1
b1000_6.txt,3000,-1,209.9657183,-1
b1000_7.txt,3000,-1,226.3411946,-1
b1000_8.txt,3000,-1,223.55235,-1
b1000_9.txt,3000,-1,211.9913712,-1
b5000_1.txt,15000,-1,12539.36676,-1
b5000_10.txt,15000,-1,12683.44342,-1
