Sample,Sample Size,Vorace Time,ProgDyn Time,Tabou Time,Vorace Height,ProgDyn Height,Tabou Height
b100_1.txt,300,0.0,-1,-1,4323,-1,-1
b100_10.txt,300,0.0,-1,-1,5023,-1,-1
b100_2.txt,300,0.0,-1,-1,4473,-1,-1
b100_3.txt,300,0.0,-1,-1,5501,-1,-1
b100_4.txt,300,0.0,-1,-1,4995,-1,-1
b100_5.txt,300,0.0,-1,-1,5825,-1,-1
b100_6.txt,300,0.0,-1,-1,5236,-1,-1
b100_7.txt,300,0.0,-1,-1,5182,-1,-1
b100_8.txt,300,0.0,-1,-1,4295,-1,-1
b100_9.txt,300,0.0009982585906982422,-1,-1,5532,-1,-1
b500_1.txt,1500,0.0010187625885009766,-1,-1,63873,-1,-1
b500_10.txt,1500,0.000997304916381836,-1,-1,51925,-1,-1
b500_2.txt,1500,0.0009968280792236328,-1,-1,63837,-1,-1
b500_3.txt,1500,0.000997304916381836,-1,-1,61009,-1,-1
b500_4.txt,1500,0.0010190010070800781,-1,-1,56163,-1,-1
b500_5.txt,1500,0.0009975433349609375,-1,-1,68140,-1,-1
b500_6.txt,1500,0.001007080078125,-1,-1,67251,-1,-1
b500_7.txt,1500,0.0009982585906982422,-1,-1,72347,-1,-1
b500_8.txt,1500,0.0009965896606445312,-1,-1,64464,-1,-1
b500_9.txt,1500,0.0009975433349609375,-1,-1,50249,-1,-1
b1000_1.txt,3000,0.0019948482513427734,-1,-1,168322,-1,-1
b1000_10.txt,3000,0.001993894577026367,-1,-1,189030,-1,-1
b1000_2.txt,3000,0.0010013580322265625,-1,-1,178566,-1,-1
b1000_3.txt,3000,0.001994609832763672,-1,-1,160032,-1,-1
b1000_4.txt,3000,0.001994609832763672,-1,-1,181673,-1,-1
b1000_5.txt,3000,0.0009982585906982422,-1,-1,173915,-1,-1
b1000_6.txt,3000,0.0019948482513427734,-1,-1,170662,-1,-1
b1000_7.txt,3000,0.001995563507080078,-1,-1,162923,-1,-1
b1000_8.txt,3000,0.001994609832763672,-1,-1,149118,-1,-1
b1000_9.txt,3000,0.0019941329956054688,-1,-1,158003,-1,-1
b5000_1.txt,15000,0.007978677749633789,-1,-1,1865596,-1,-1
b5000_10.txt,15000,0.008977890014648438,-1,-1,2020168,-1,-1
b5000_2.txt,15000,0.008975744247436523,-1,-1,1931377,-1,-1
b5000_3.txt,15000,0.008976221084594727,-1,-1,1767446,-1,-1
b5000_4.txt,15000,0.008975744247436523,-1,-1,2117167,-1,-1
b5000_5.txt,15000,0.008976221084594727,-1,-1,2197311,-1,-1
b5000_6.txt,15000,0.009976863861083984,-1,-1,1900286,-1,-1
b5000_7.txt,15000,0.008975982666015625,-1,-1,2032425,-1,-1
b5000_8.txt,15000,0.007954835891723633,-1,-1,2032757,-1,-1
b5000_9.txt,15000,0.007965564727783203,-1,-1,2096937,-1,-1
b10000_1.txt,30000,0.01795196533203125,-1,-1,5872276,-1,-1
b10000_10.txt,30000,0.016954660415649414,-1,-1,4934406,-1,-1
b10000_2.txt,30000,0.017951011657714844,-1,-1,5642423,-1,-1
b10000_3.txt,30000,0.018949031829833984,-1,-1,5620831,-1,-1
b10000_4.txt,30000,0.01795196533203125,-1,-1,5630547,-1,-1
b10000_5.txt,30000,0.016954660415649414,-1,-1,6025014,-1,-1
b10000_6.txt,30000,0.01795220375061035,-1,-1,5662478,-1,-1
b10000_7.txt,30000,0.016954660415649414,-1,-1,6076708,-1,-1
b10000_8.txt,30000,0.016953706741333008,-1,-1,5792286,-1,-1
b10000_9.txt,30000,0.016954898834228516,-1,-1,6000217,-1,-1
b50000_1.txt,150000,0.09275245666503906,-1,-1,64309926,-1,-1
b50000_10.txt,150000,0.08876276016235352,-1,-1,66136893,-1,-1
b50000_2.txt,150000,0.08676886558532715,-1,-1,64852533,-1,-1
b50000_3.txt,150000,0.08776521682739258,-1,-1,61719563,-1,-1
b50000_4.txt,150000,0.08676815032958984,-1,-1,60149630,-1,-1
b50000_5.txt,150000,0.08976006507873535,-1,-1,66520656,-1,-1
b50000_6.txt,150000,0.08975934982299805,-1,-1,65563514,-1,-1
b50000_7.txt,150000,0.08770918846130371,-1,-1,63277660,-1,-1
b50000_8.txt,150000,0.08679008483886719,-1,-1,64941026,-1,-1
b50000_9.txt,150000,0.08776545524597168,-1,-1,63411550,-1,-1
b100000_1.txt,300000,0.18251299858093262,-1,-1,182854172,-1,-1
b100000_10.txt,300000,0.17752599716186523,-1,-1,185834304,-1,-1
b100000_2.txt,300000,0.18548297882080078,-1,-1,181766671,-1,-1
b100000_3.txt,300000,0.20046520233154297,-1,-1,182547021,-1,-1
b100000_4.txt,300000,0.19647431373596191,-1,-1,188134786,-1,-1
b100000_5.txt,300000,0.1854867935180664,-1,-1,189866083,-1,-1
b100000_6.txt,300000,0.18550539016723633,-1,-1,176445812,-1,-1
b100000_7.txt,300000,0.18051791191101074,-1,-1,181169049,-1,-1
b100000_8.txt,300000,0.1815185546875,-1,-1,182363122,-1,-1
b100000_9.txt,300000,0.18550443649291992,-1,-1,185591361,-1,-1
